"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"110","anon5_point","10","cue_strength_between","point","Bear","t17","t4","outer","t17","right","8",899,0
"111","anon6_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5884,1
"112","anon6_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",9992,1
"113","anon6_point","3","cue_strength_between","point","Monkey","t12","t17","outer","t12","left","1",2634,1
"114","anon6_point","4","cue_strength_between","point","Mouse","t10","t16","inner","t10","left","2",2633,1
"115","anon6_point","5","cue_strength_between","point","Frog","t11","t7","inner","t11","left","3",1023,1
"116","anon6_point","6","cue_strength_between","point","Bunny","t2","t4","inner","t4","right","4",1466,1
"117","anon6_point","7","cue_strength_between","point","Cat","t3","t6","outer","t6","right","5",2287,1
"118","anon6_point","8","cue_strength_between","point","Bear","t14","t15","outer","t15","right","6",1225,1
"119","anon6_point","9","cue_strength_between","point","Tiger","t9","t1","outer","t1","right","7",1111,1
"120","anon6_point","10","cue_strength_between","point","Elephant","t5","t8","outer","t5","left","8",1124,1
"121","anon7_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4082,1
"122","anon7_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4146,1
"123","anon7_point","3","cue_strength_between","point","Cat","t11","t14","inner","t14","right","1",2992,1
"124","anon7_point","4","cue_strength_between","point","Bear","t2","t4","outer","t2","left","2",5722,1
"125","anon7_point","5","cue_strength_between","point","Bunny","t7","t12","outer","t12","right","3",1738,1
"126","anon7_point","6","cue_strength_between","point","Tiger","t5","t3","inner","t3","right","4",1625,1
"127","anon7_point","7","cue_strength_between","point","Pig","t15","t1","inner","t15","left","5",1102,1
"128","anon7_point","8","cue_strength_between","point","Elephant","t16","t8","outer","t16","left","6",1473,1
"129","anon7_point","9","cue_strength_between","point","Mouse","t6","t10","outer","t10","right","7",1571,1
"130","anon7_point","10","cue_strength_between","point","Frog","t9","t17","inner","t9","left","8",1227,1
"131","anon8_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",8402,1
"132","anon8_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",10308,1
"133","anon8_point","3","cue_strength_between","point","Elephant","t9","t2","outer","t2","left","1",2178,0
"134","anon8_point","4","cue_strength_between","point","Pig","t10","t5","inner","t5","right","2",1928,1
"135","anon8_point","5","cue_strength_between","point","Mouse","t14","t3","inner","t14","left","3",1526,1
"136","anon8_point","6","cue_strength_between","point","Frog","t11","t1","inner","t1","right","4",1302,1
"137","anon8_point","7","cue_strength_between","point","Dog","t17","t7","outer","t7","left","5",1476,0
"138","anon8_point","8","cue_strength_between","point","Monkey","t16","t4","inner","t16","left","6",1130,1
"139","anon8_point","9","cue_strength_between","point","Bunny","t12","t6","outer","t12","right","7",1476,0
"140","anon8_point","10","cue_strength_between","point","Cat","t15","t8","inner","t8","right","8",932,1
"141","anon9_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5415,1
"142","anon9_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4261,1
"143","anon9_point","3","cue_strength_between","point","Bear","t2","t15","outer","t2","right","1",1681,0
"144","anon9_point","4","cue_strength_between","point","Cat","t10","t9","outer","t10","left","2",962,1
"145","anon9_point","5","cue_strength_between","point","Monkey","t12","t8","outer","t8","right","3",1003,1
"146","anon9_point","6","cue_strength_between","point","Bunny","t1","t3","outer","t1","left","4",1316,1
"147","anon9_point","7","cue_strength_between","point","Elephant","t11","t4","outer","t11","left","5",1242,1
"148","anon9_point","8","cue_strength_between","point","Dog","t16","t14","outer","t16","left","6",1188,1
"149","anon9_point","9","cue_strength_between","point","Tiger","t5","t6","outer","t6","right","7",1276,1
"150","anon9_point","10","cue_strength_between","point","Pig","t17","t7","inner","t7","right","8",1011,1
