"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"92","anon4_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4617,1
"93","anon4_look","3","cue_strength_between","look","Bunny","t5","t15","inner","t15","right","1",2203,1
"94","anon4_look","4","cue_strength_between","look","Monkey","t2","t17","outer","t17","left","2",1458,0
"95","anon4_look","5","cue_strength_between","look","Tiger","t14","t3","outer","t3","left","3",2070,0
"96","anon4_look","6","cue_strength_between","look","Frog","t16","t10","inner","t10","right","4",865,1
"97","anon4_look","7","cue_strength_between","look","Bear","t12","t8","inner","t12","right","5",2022,0
"98","anon4_look","8","cue_strength_between","look","Pig","t4","t6","inner","t6","right","6",1855,1
"99","anon4_look","9","cue_strength_between","look","Elephant","t11","t7","outer","t7","left","7",908,0
"100","anon4_look","10","cue_strength_between","look","Mouse","t1","t9","outer","t1","left","8",748,1
"101","anon5_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",11359,1
"102","anon5_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",9661,1
"103","anon5_look","3","cue_strength_between","look","Cat","t2","t3","outer","t2","left","1",5359,1
"104","anon5_look","4","cue_strength_between","look","Sheep","t12","t1","inner","t1","right","2",3033,1
"105","anon5_look","5","cue_strength_between","look","Tiger","t14","t5","outer","t14","left","3",2331,1
"106","anon5_look","6","cue_strength_between","look","Monkey","t7","t4","outer","t4","right","4",2693,1
"107","anon5_look","7","cue_strength_between","look","Bear","t8","t15","inner","t15","right","5",1403,1
"108","anon5_look","8","cue_strength_between","look","Dog","t6","t11","inner","t6","left","6",2509,1
"109","anon5_look","9","cue_strength_between","look","Elephant","t9","t10","inner","t9","left","7",1624,1
"110","anon5_look","10","cue_strength_between","look","Mouse","t16","t17","outer","t17","right","8",1841,1
"111","anon6_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",8530,1
"112","anon6_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",9365,1
"113","anon6_look","3","cue_strength_between","look","Mouse","t10","t7","outer","t10","right","1",10036,0
"114","anon6_look","4","cue_strength_between","look","Elephant","t5","t15","outer","t5","right","2",2729,0
"115","anon6_look","5","cue_strength_between","look","Sheep","t2","t3","inner","t3","left","3",1669,0
"116","anon6_look","6","cue_strength_between","look","Monkey","t17","t1","outer","t1","left","4",1824,0
"117","anon6_look","7","cue_strength_between","look","Frog","t12","t16","inner","t12","right","5",1298,0
"118","anon6_look","8","cue_strength_between","look","Dog","t9","t6","outer","t6","left","6",1853,0
"119","anon6_look","9","cue_strength_between","look","Pig","t4","t8","outer","t4","right","7",1596,0
"120","anon6_look","10","cue_strength_between","look","Bear","t11","t14","outer","t14","left","8",1275,0
"121","anon7_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4279,1
"122","anon7_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4172,1
